String,Outcome
crack ,C
cocaine ,C
coke ,C
sniff ,C
fetanyl,G
xanax,G
heroin,C
dope,C
junk,C
LSD,G
ketamine,G
pcp,G
marijuana,M
ganja,M
marajuana,M
weed,M
lucy,M
meth,G
